data_venda,cliente_id,produto_id,produto_nome,categoria,quantidade,valor_unitario,valor_total,nps_score
2024-01-05,1001,P001,Anel Solitário Ouro 18k,Anéis,1,2500.00,2500.00,9
2024-01-08,1002,P002,Brincos Prata com Diamantes,Brincos,1,1200.00,1200.00,8
2024-01-10,1003,P003,Colar Pérolas Cultivadas,Colares,1,1800.00,1800.00,10
2024-01-12,1004,P004,Pulseira Ouro 14k,Pulseiras,1,950.00,950.00,7
2024-01-15,1005,P005,Relógio Suíço Luxo,Relógios,1,3500.00,3500.00,9
2024-01-18,1001,P006,Aliança Ouro Branco,Alianças,2,1800.00,3600.00,8
2024-01-20,1006,P007,Anel Prata com Safira,Anéis,1,800.00,800.00,6
2024-01-22,1007,P008,Brincos Ouro 18k,Brincos,1,1500.00,1500.00,9
2024-01-25,1008,P009,Colar Ouro com Rubi,Colares,1,2200.00,2200.00,8
2024-01-28,1009,P010,Pulseira Prata com Zircônia,Pulseiras,1,650.00,650.00,7
2024-01-30,1010,P011,Relógio Elegante,Relógios,1,2800.00,2800.00,9
2024-02-02,1011,P012,Anel Ouro Rosa 18k,Anéis,1,1900.00,1900.00,8
2024-02-05,1012,P013,Brincos Pérolas,Brincos,1,1100.00,1100.00,7
2024-02-08,1003,P014,Colar Prata com Esmeralda,Colares,1,1600.00,1600.00,9
2024-02-10,1013,P015,Pulseira Ouro 18k com Diamantes,Pulseiras,1,3200.00,3200.00,10
2024-02-12,1014,P016,Relógio Clássico,Relógios,1,2400.00,2400.00,8
2024-02-15,1015,P017,Aliança Prata,Alianças,2,1200.00,2400.00,7
2024-02-18,1016,P018,Anel Prata com Topázio,Anéis,1,750.00,750.00,6
2024-02-20,1017,P019,Brincos Ouro Branco,Brincos,1,1400.00,1400.00,8
2024-02-22,1018,P020,Colar Ouro Amarelo,Colares,1,2000.00,2000.00,9
2024-02-25,1019,P021,Pulseira Prata,Pulseiras,1,550.00,550.00,6
2024-02-28,1020,P022,Relógio Esportivo,Relógios,1,1900.00,1900.00,7
2024-03-03,1021,P023,Anel Ouro com Diamante,Anéis,1,4500.00,4500.00,10
2024-03-05,1022,P024,Brincos Prata com Rubi,Brincos,1,1300.00,1300.00,8
2024-03-08,1023,P025,Colar Pérolas Negras,Colares,1,2100.00,2100.00,9
2024-03-10,1024,P026,Pulseira Ouro 14k com Zircônia,Pulseiras,1,1100.00,1100.00,7
2024-03-12,1025,P027,Relógio Premium,Relógios,1,4200.00,4200.00,10
2024-03-15,1026,P028,Aliança Ouro 18k,Alianças,2,2200.00,4400.00,9
2024-03-18,1027,P029,Anel Prata com Ametista,Anéis,1,680.00,680.00,6
2024-03-20,1028,P030,Brincos Ouro Rosa,Brincos,1,1600.00,1600.00,8
2024-03-22,1029,P031,Colar Ouro com Esmeralda,Colares,1,2800.00,2800.00,9
2024-03-25,1030,P032,Pulseira Prata com Diamantes,Pulseiras,1,1800.00,1800.00,8
2024-03-28,1031,P033,Relógio Executivo,Relógios,1,3100.00,3100.00,9
2024-03-30,1001,P034,Anel Ouro Branco 18k,Anéis,1,2300.00,2300.00,8
2024-04-02,1032,P035,Brincos Prata com Safira,Brincos,1,1250.00,1250.00,7
2024-04-05,1033,P036,Colar Ouro com Pérolas,Colares,1,2400.00,2400.00,9
2024-04-08,1034,P037,Pulseira Ouro 18k,Pulseiras,1,1350.00,1350.00,8
2024-04-10,1035,P038,Relógio de Luxo,Relógios,1,4800.00,4800.00,10
2024-04-12,1036,P039,Aliança Ouro Branco,Alianças,2,2000.00,4000.00,8
2024-04-15,1037,P040,Anel Prata com Citrino,Anéis,1,720.00,720.00,6
2024-04-18,1038,P041,Brincos Ouro Amarelo,Brincos,1,1700.00,1700.00,9
2024-04-20,1039,P042,Colar Prata com Rubi,Colares,1,1900.00,1900.00,8
2024-04-22,1040,P043,Pulseira Prata com Topázio,Pulseiras,1,890.00,890.00,7
2024-04-25,1041,P044,Relógio Clássico Premium,Relógios,1,3600.00,3600.00,9
2024-04-28,1042,P045,Anel Ouro com Safira,Anéis,1,2100.00,2100.00,8
2024-05-02,1043,P046,Brincos Prata com Esmeralda,Brincos,1,1450.00,1450.00,8
2024-05-05,1044,P047,Colar Ouro Rosa,Colares,1,2600.00,2600.00,9
2024-05-08,1045,P048,Pulseira Ouro 14k com Diamantes,Pulseiras,1,2900.00,2900.00,9
2024-05-10,1046,P049,Relógio Esportivo Premium,Relógios,1,2200.00,2200.00,8
2024-05-12,1047,P050,Aliança Prata com Zircônia,Alianças,2,1500.00,3000.00,7
2024-05-15,1048,P051,Anel Prata com Rubi,Anéis,1,850.00,850.00,7
2024-05-18,1049,P052,Brincos Ouro Branco 18k,Brincos,1,1800.00,1800.00,9
2024-05-20,1050,P053,Colar Pérolas Brancas,Colares,1,2300.00,2300.00,8
2024-05-22,1051,P054,Pulseira Prata com Safira,Pulseiras,1,980.00,980.00,7
2024-05-25,1052,P055,Relógio Executivo Premium,Relógios,1,3900.00,3900.00,10
2024-05-28,1053,P056,Anel Ouro com Topázio,Anéis,1,1950.00,1950.00,8
2024-06-02,1054,P057,Brincos Prata com Ametista,Brincos,1,1150.00,1150.00,7
2024-06-05,1055,P058,Colar Ouro com Diamantes,Colares,1,5200.00,5200.00,10
2024-06-08,1056,P059,Pulseira Ouro 18k com Rubi,Pulseiras,1,3400.00,3400.00,9
2024-06-10,1057,P060,Relógio de Ouro,Relógios,1,5500.00,5500.00,10
2024-06-12,1058,P061,Aliança Ouro Rosa,Alianças,2,2400.00,4800.00,9
2024-06-15,1059,P062,Anel Prata com Esmeralda,Anéis,1,920.00,920.00,7
2024-06-18,1060,P063,Brincos Ouro Amarelo 18k,Brincos,1,1900.00,1900.00,8
2024-06-20,1061,P064,Colar Prata com Diamantes,Colares,1,2700.00,2700.00,9
2024-06-22,1062,P065,Pulseira Prata com Pérolas,Pulseiras,1,1200.00,1200.00,8
2024-06-25,1063,P066,Relógio Clássico de Ouro,Relógios,1,4100.00,4100.00,9
2024-06-28,1064,P067,Anel Ouro com Rubi,Anéis,1,2400.00,2400.00,9
2024-07-02,1065,P068,Brincos Prata com Topázio,Brincos,1,1350.00,1350.00,8
2024-07-05,1066,P069,Colar Ouro Branco,Colares,1,3000.00,3000.00,9
2024-07-08,1067,P070,Pulseira Ouro 14k com Safira,Pulseiras,1,1600.00,1600.00,8
2024-07-10,1068,P071,Relógio Premium Executivo,Relógios,1,4400.00,4400.00,10
2024-07-12,1069,P072,Aliança Ouro Amarelo,Alianças,2,2100.00,4200.00,8
2024-07-15,1070,P073,Anel Prata com Citrino,Anéis,1,780.00,780.00,6
2024-07-18,1071,P074,Brincos Ouro Rosa com Diamantes,Brincos,1,2500.00,2500.00,9
2024-07-20,1072,P075,Colar Pérolas Coloridas,Colares,1,2800.00,2800.00,9
2024-07-22,1073,P076,Pulseira Prata com Rubi,Pulseiras,1,1100.00,1100.00,7
2024-07-25,1074,P077,Relógio Esportivo de Luxo,Relógios,1,2600.00,2600.00,8
2024-07-28,1075,P078,Anel Ouro com Esmeralda,Anéis,1,2700.00,2700.00,9
2024-08-02,1076,P079,Brincos Prata com Zircônia,Brincos,1,1050.00,1050.00,7
2024-08-05,1077,P080,Colar Ouro com Topázio,Colares,1,3100.00,3100.00,9
2024-08-08,1078,P081,Pulseira Ouro 18k com Esmeralda,Pulseiras,1,3800.00,3800.00,10
2024-08-10,1079,P082,Relógio Clássico de Prata,Relógios,1,3200.00,3200.00,9
2024-08-12,1080,P083,Aliança Ouro Branco Premium,Alianças,2,2800.00,5600.00,10
2024-08-15,1081,P084,Anel Prata com Ametista,Anéis,1,950.00,950.00,7
2024-08-18,1082,P085,Brincos Ouro Branco com Safira,Brincos,1,2000.00,2000.00,8
2024-08-20,1083,P086,Colar Prata com Esmeralda,Colares,1,2100.00,2100.00,8
2024-08-22,1084,P087,Pulseira Prata com Diamantes,Pulseiras,1,1900.00,1900.00,8
2024-08-25,1085,P088,Relógio Executivo de Ouro,Relógios,1,4700.00,4700.00,10
2024-08-28,1086,P089,Anel Ouro com Topázio,Anéis,1,2200.00,2200.00,8
2024-09-02,1087,P090,Brincos Prata com Rubi,Brincos,1,1400.00,1400.00,8
2024-09-05,1088,P091,Colar Ouro Rosa com Diamantes,Colares,1,4500.00,4500.00,10
2024-09-08,1089,P092,Pulseira Ouro 14k com Topázio,Pulseiras,1,1700.00,1700.00,8
2024-09-10,1090,P093,Relógio Premium de Luxo,Relógios,1,5100.00,5100.00,10
2024-09-12,1091,P094,Aliança Prata Premium,Alianças,2,1800.00,3600.00,8
2024-09-15,1092,P095,Anel Prata com Safira,Anéis,1,880.00,880.00,7
2024-09-18,1093,P096,Brincos Ouro Amarelo com Pérolas,Brincos,1,2100.00,2100.00,9
2024-09-20,1094,P097,Colar Pérolas Premium,Colares,1,3200.00,3200.00,9
2024-09-22,1095,P098,Pulseira Prata com Esmeralda,Pulseiras,1,1300.00,1300.00,8
2024-09-25,1096,P099,Relógio Clássico Executivo,Relógios,1,3800.00,3800.00,9
2024-09-28,1097,P100,Anel Ouro com Diamante Solitário,Anéis,1,5800.00,5800.00,10
2024-10-02,1098,P101,Brincos Prata com Topázio,Brincos,1,1250.00,1250.00,7
